Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Acura ILX,"['2.4 A-SPEC DCT', '2.4 TECH DCT']",['Automático'],['Ciudad de México'],263200.0,3
Acura Integra,['1.5 A-SPEC CVT'],['Automático'],['Ciudad de México'],534400.0,1
Acura MDX,"['3.5 A-SPEC AUTO 4WD', '3.5 ADVANCE AUTO AWD', '3.5 TECH AUTO 4WD']",['Automático'],"['Ciudad de México', 'Puebla']",380000.0,7
Acura RDX,"['2.0 A-SPEC AUTO 4WD', '2.0 A-SPEC AUTO AWD', '2.0 TECH AUTO 4WD', '2.0 TECH AUTO AWD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",372800.0,15
Acura TLX,"['2.0 ADVANCE AUTO', '3.5 ADVANCE AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Guadalajara']",588000.0,4
Alfa Romeo Giulia,"['2.0 TI', '2.0 VELOCE AUTO']",['Automático'],['Ciudad de México'],536000.0,3
Alfa Romeo Giulietta,['1.8 VELOCE TCT'],['Automático'],['Ciudad de México'],273600.0,1
Alfa Romeo Mito,['1.4 VELOCE'],['Manual'],['Ciudad de México'],207200.0,1
Alfa Romeo Tonale,"['1.3 TI PHEV AUTO', '2.0 TI AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",623520.0,4
Audi A1,"['1.0 SB 30 TFSI COOL DCT', '1.0 SB 30 TFSI URBAN DCT', '1.5 SB 35 TFSI BLACK EGO EDITION DCT', '1.5 SB 35 TFSI EGO DCT', '2.0 SB 40 TFSI S LINE DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Guadalajara', 'Puebla']",449600.0,34
Audi A3,"['1.4 35 DYNAMIC DCT', '1.4 35 SELECT DCT', '1.4 35 TFSI DYNAMIC AUTO', '1.4 35 TFSI DYNAMIC DCT', '1.4 35 TFSI SELECT AUTO', '1.4 35 TFSI SELECT DCT', '2.0 40 DYNAMIC DCT', '2.0 40 S LINE DCT', '2.0 40 SELECT DCT', '2.0 40 TFSI S LINE DCT', '2.0 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Puebla', 'Querétaro']",431520.0,82
Audi A4,"['2.0 40 TFSI DYNAMIC DCT', '2.0 40 TFSI SELECT DCT', '2.0 MHEV 40 TFSI DYNAMIC DCT', '2.0 MHEV 40 TFSI S LINE DCT', '2.0 MHEV 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey']",340800.0,23
Audi A5,"['2.0 40 S LINE DCT', '2.0 40 SB S LINE DCT', '2.0 40 SB SELECT DCT', '2.0 45 SB S LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey']",363200.0,8
Audi A5 Coupe,['2.0 MHEV 40 TFSI SELECT DCT'],['Automático'],['Ciudad de México'],444800.0,1
Audi A5 Sportback,"['2.0 MHEV SB 40 TFSI S LINE DCT', '2.0 MHEV SB 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Querétaro']",436800.0,5
